filename,label,split,before_path,after_path,text,duration
human_083.wav,human,train,/content/before_after_dataset/BEFORE_TRAIN/human/human_083.wav,/content/before_after_dataset/AFTER_TRAIN/train/human/human_083.wav,"Hello, how are you doing today?",2.52
human_019.wav,human,train,/content/before_after_dataset/BEFORE_TRAIN/human/human_019.wav,/content/before_after_dataset/AFTER_TRAIN/train/human/human_019.wav,Please remember to save your work regularly.,3.696
human_052.wav,human,train,/content/before_after_dataset/BEFORE_TRAIN/human/human_052.wav,/content/before_after_dataset/AFTER_TRAIN/train/human/human_052.wav,Would you like some coffee or tea?,2.904
ai_034.wav,ai,train,/content/before_after_dataset/BEFORE_TRAIN/ai/ai_034.wav,/content/before_after_dataset/AFTER_TRAIN/train/ai/ai_034.wav,The project deadline is next Friday.,2.928
ai_089.wav,ai,train,/content/before_after_dataset/BEFORE_TRAIN/ai/ai_089.wav,/content/before_after_dataset/AFTER_TRAIN/train/ai/ai_089.wav,Could you please repeat that again?,2.328
ai_099.wav,ai,train,/content/before_after_dataset/BEFORE_TRAIN/ai/ai_099.wav,/content/before_after_dataset/AFTER_TRAIN/train/ai/ai_099.wav,Please remember to save your work regularly.,3.072
ai_082.wav,ai,train,/content/before_after_dataset/BEFORE_TRAIN/ai/ai_082.wav,/content/before_after_dataset/AFTER_TRAIN/train/ai/ai_082.wav,Artificial intelligence is transforming technology...,3.96
human_003.wav,human,train,/content/before_after_dataset/BEFORE_TRAIN/human/human_003.wav,/content/before_after_dataset/AFTER_TRAIN/train/human/human_003.wav,"Hello, how are you doing today?",2.856
human_042.wav,human,train,/content/before_after_dataset/BEFORE_TRAIN/human/human_042.wav,/content/before_after_dataset/AFTER_TRAIN/train/human/human_042.wav,Artificial intelligence is transforming technology...,4.224
human_068.wav,human,train,/content/before_after_dataset/BEFORE_TRAIN/human/human_068.wav,/content/before_after_dataset/AFTER_TRAIN/train/human/human_068.wav,The sun rises early in the morning.,2.88
